TOTEMPLOYEE,TOTVOLUNTEERS,TOTALREVPRIOR,TOTALREVCURRENT,SALARIESCURRENT
0,,0,16079,11830
10,0,239374,338677,115298
0,6,2214236,1284049,0
,,,15000,0
,,,0,0
,,,6338,0
,,,10689,0
0,,82061,78905,0
,,,5812,0
,,,62546,0
,,,101870,0
,,,0,0
,,,22350,0
,,,45921,0
,,,119200,97130
2,1000,1560789,1129336,208511
0,,594190,263936,0
0,,252742,314699,86994
0,,41899,393047,18690
0,50,372343,424422,0
0,8,12000,435301,0
2,5,454621,388543,88324
0,,167045,221639,0
3,,273908,285039,170321
,,,47496,0
0,,219389,212647,0
,,,6012,0
,,,65071,21300
,,,113401,48575
,,,189390,0
,,,52350,0
,,,12000,0
,,,116102,20000
,,,28,0
,,,83366,54600
,,,174744,74714
,,,96370,0
,,,153510,86480
,,,12500,0
,,,18393,3600
,,,74541,14454
,,,28299,0
0,,1138,703,0
,,,33656,0
,,,92624,24250
,,,141111,17325
,,,0,0
,,,8000,8396
0,20,1094614,380975,0
4,,896248,2525741,286985
2,,1767749,1746678,216690
0,,121891,89632,0
60,8,4764655,5240461,3222521
7,10,235105,387760,321727
,,,124740,76232
,,,22603,0
,,,9440,0
,,,43419,41961
,,,0,0
,,,0,0
14,15,858346,759580,610515
10,,144960,132792,63492
0,,106044,59053,0
0,21,1692168,1503199,0
12,50,557990,649580,394108
0,5,86546,249587,0
0,,232249,515496,0
1,44,141655,156693,2171
0,2,245828,202296,112500
,,,5500,0
,,,1249,0
,,,0,0
,,,1801,0
,,,139900,0
,,,831,0
,,,5000,0
,,,101890,0
0,,276310,276218,0
0,50,488744,270076,0
0,,335816,383724,0
0,20,53202,47171,0
6,15,78731,87501,0
0,,611768,1127814,372722
0,6,439640,162051,112000
0,0,189243,101424,0
0,,43164,376459,0
11,25,1882737,2117547,913336
17,88,393095,425723,271948
,,,34824,0
,,,0,0
,,,75,0
6,,822105,1026368,513049
0,,224284,201724,125123
0,,80687,37561,0
0,0,32005,49133,0
0,,172959,192428,0
,,,3998,0
,,,24566,0
,,,50480,0
,,,85724,36237
,,,103848,21600
,,,137077,0
,,,7100,0
0,6,117852,134181,0
0,,355039,329132,167577
,,,0,0
,,,108457,83660
,,,97952,0
,,,48886,430
0,0,44639,74126,0
0,13,201103,320712,0
2,,192523,250434,58884
3,72,252263,251960,116671
,,,58637,0
3,15,178184,262388,17486
0,,37360,20669,0
,,,104044,56149
,,,39424,0
,,,4757,0
,,,57411,0
,,,107302,0
,,,116143,0
,,,79862,0
,,,11000,0
,,,5406,0
,,,0,0
,,,155746,90084
,,,160663,63879
,,,76174,0
,,,26060,0
,,,118703,49623
,,,89041,0
,,,98925,57368
,,,20,0
,,,10254,0
0,,225551,252495,26400
0,0,116501,105553,0
0,,101443,71864,0
,,,42466,0
,,,92167,0
,,,7000,0
,,,79994,0
,,,87177,0
,,,150093,0
2,40,384469,404284,126812
0,0,82742,86404,22450
0,0,127047,84422,72000
,,,99766,0
6,20,95418,101538,31127
,,,42641,24000
,,,59558,43116
,,,19554,0
,,,87413,0
,,,35286,12000
,,,108809,8000
0,,66227,33891,0
4,,444225,668776,277012
0,,144002,146792,26999
1,25,407406,634142,53365
0,30,317559,332698,0
0,3,0,406531,0
6,100,397799,395407,128744
1,10,56785,56378,0
1,,316786,-269429,28722
,,,68188,0
,,,75176,0
,,,24254,0
0,130,644543,694146,0
0,,496808,540981,0
18,12,210541,228787,119237
18,5,571046,432135,265156
0,,682159,767012,0
0,,242676,246931,22500
0,0,371250,319375,0
0,,108958,243506,6468
0,,5500,4700,0
,,,70091,0
,,,77991,0
,,,6727,0
,,,56613,0
